key,variant,epochs,batch,lr,f1_macro_val,accuracy_val,precision_macro_val,recall_macro_val,n_val,f1_macro_test,accuracy_test,precision_macro_test,recall_macro_test,n_test,gflops,params,size_mb,inf_ms
m_ep25_bs16_lr1e-02,m,25,16,0.01,0.6577645093124969,0.6811594202898551,0.7003571428571429,0.6532722832722831,69,0.5683047581073897,0.5857142857142857,0.6407828282828282,0.5455844155844155,70,4.851194368,10366026,19.932,87.26
m_ep25_bs16_lr1e-03,m,25,16,0.001,0.6734725703146756,0.6956521739130435,0.7440692640692641,0.678986568986569,69,0.5181872515568168,0.5285714285714286,0.5434521687462863,0.5280086580086579,70,4.851194368,10366026,19.932,88.76
m_ep25_bs16_lr1e-04,m,25,16,0.0001,0.09780645161290323,0.2463768115942029,0.07297348484848484,0.15367521367521367,69,0.13259322373696875,0.2857142857142857,0.1811597960418287,0.17402597402597403,70,4.851194368,10366026,59.501,113.3
m_ep25_bs32_lr1e-02,m,25,32,0.01,0.7493186769657358,0.7536231884057971,0.774126984126984,0.7630280830280831,69,0.5941502941502942,0.6,0.6477705627705628,0.5965800865800865,70,4.851194368,10366026,19.932,113.32
m_ep25_bs32_lr1e-03,m,25,32,0.001,0.630958975664858,0.6811594202898551,0.7579166666666667,0.6408119658119659,69,0.5244594011652836,0.5857142857142857,0.5797478991596638,0.5342857142857143,70,4.851194368,10366026,19.932,70.01
m_ep25_bs32_lr1e-04,m,25,32,0.0001,0.1,0.2463768115942029,0.09711835334476845,0.14683760683760685,69,0.10717418546365916,0.2714285714285714,0.09733333333333333,0.1520779220779221,70,4.851194368,10366026,19.932,138.39
m_ep25_bs8_lr1e-02,m,25,8,0.01,0.7657289055973265,0.7971014492753623,0.8434920634920635,0.7715934065934066,69,0.7175467608076304,0.7428571428571429,0.8150075414781297,0.687142857142857,70,4.851194368,10366026,19.932,91.22
m_ep25_bs8_lr1e-03,m,25,8,0.001,0.7568688399722883,0.7681159420289855,0.8105681818181818,0.7477899877899878,69,0.5614981684981685,0.5857142857142857,0.60375,0.5503463203463203,70,4.851194368,10366026,19.932,80.27
m_ep25_bs8_lr1e-04,m,25,8,0.0001,0.11077811550151977,0.2898550724637681,0.08160990712074304,0.17786324786324786,69,0.11599408721359943,0.2857142857142857,0.08821086532757014,0.17077922077922075,70,4.851194368,10366026,19.932,79.27
m_ep50_bs8_lr1e-04,m,50,8,0.0001,0.04871794871794872,0.2028985507246377,0.05333333333333333,0.11000000000000001,69,0.034999999999999996,0.2,0.021212121212121213,0.1,70,4.851194368,10366026,59.5,39.8
n_ep25_bs16_lr1e-02,n,25,16,0.01,0.72269352511288,0.7246376811594203,0.7565367965367966,0.7203235653235655,69,0.7028478526304613,0.7,0.7511904761904762,0.6742424242424242,70,0.398312704,1543914,3.06,20.17
n_ep25_bs16_lr1e-03,n,25,16,0.001,0.6737598437053972,0.6811594202898551,0.7260732323232324,0.6598534798534799,69,0.6506569967096284,0.6571428571428571,0.720860781730347,0.6242424242424243,70,0.398312704,1543914,3.06,20.81
n_ep25_bs16_lr1e-04,n,25,16,0.0001,0.17115516062884484,0.3188405797101449,0.23621212121212118,0.20650793650793647,69,0.3003989898989899,0.37142857142857144,0.5252100840336135,0.2793073593073593,70,0.398312704,1543914,3.06,22.94
n_ep25_bs32_lr1e-02,n,25,32,0.01,0.7932869418163536,0.782608695652174,0.8029487179487178,0.7991391941391941,69,0.747260941489553,0.7428571428571429,0.7997058823529412,0.7238095238095238,70,0.398312704,1543914,3.06,20.52
n_ep25_bs32_lr1e-03,n,25,32,0.001,0.5575911369332422,0.5797101449275363,0.6267948717948718,0.5458852258852258,69,0.6560240655401945,0.6571428571428571,0.7563632119514472,0.6265800865800866,70,0.398312704,1543914,3.06,21.62
n_ep25_bs32_lr1e-04,n,25,32,0.0001,0.1632330827067669,0.3188405797101449,0.22573593073593073,0.20539682539682538,69,0.21112417276210377,0.34285714285714286,0.35777777777777775,0.22402597402597402,70,0.398312704,1543914,3.06,22.9
n_ep25_bs8_lr1e-02,n,25,8,0.01,0.6788532482010743,0.6956521739130435,0.7596503496503496,0.6847008547008546,69,0.7808152958152957,0.7857142857142857,0.8862387612387612,0.7666666666666667,70,0.398312704,1543914,3.06,20.31
n_ep25_bs8_lr1e-03,n,25,8,0.001,0.5845580736831938,0.6086956521739131,0.6173863636363637,0.5801709401709402,69,0.5722311466000106,0.6142857142857143,0.5934173669467787,0.5794372294372294,70,0.398312704,1543914,3.06,22.15
n_ep25_bs8_lr1e-04,n,25,8,0.0001,0.23042575781706218,0.36231884057971014,0.29898351648351645,0.2571489621489621,69,0.1694512862616311,0.2714285714285714,0.226640866873065,0.18454545454545454,70,0.398312704,1543914,3.06,19.58
n_ep50_bs16_lr1e-02,n,50,16,0.01,0.8363602410661233,0.8405797101449275,0.8558333333333333,0.8311172161172161,69,0.6979262088160347,0.7,0.7723737373737374,0.6732467532467533,70,0.398312704,1543914,3.063,19.79
n_ep50_bs16_lr1e-03,n,50,16,0.001,0.7446217817270449,0.7536231884057971,0.7666666666666666,0.7352503052503053,69,0.6961904761904762,0.7,0.7334126984126985,0.6803463203463204,70,0.398312704,1543914,3.063,22.27
n_ep50_bs16_lr1e-04,n,50,16,0.0001,0.37163524195103137,0.4782608695652174,0.4331609195402299,0.3948412698412699,69,0.5272153209109731,0.5857142857142857,0.616117216117216,0.5108225108225107,70,0.398312704,1543914,3.063,19.98
n_ep50_bs32_lr1e-02,n,50,32,0.01,0.7241226737629001,0.7101449275362319,0.7668055555555555,0.7076434676434677,69,0.6799096736596737,0.7142857142857143,0.7690404040404041,0.6475324675324676,70,0.398312704,1543914,3.063,25.88
n_ep50_bs32_lr1e-03,n,50,32,0.001,0.7162002227791702,0.7246376811594203,0.7949134199134199,0.7235897435897436,69,0.667147634973722,0.6714285714285714,0.737967032967033,0.6574891774891775,70,0.398312704,1543914,3.062,28.73
n_ep50_bs32_lr1e-04,n,50,32,0.0001,0.30897602565954435,0.43478260869565216,0.32282051282051283,0.33984126984126983,69,0.5106599933588268,0.5857142857142857,0.6008255633255632,0.5108225108225108,70,0.398312704,1543914,3.063,26.23
n_ep50_bs8_lr1e-02,n,50,8,0.01,0.767965367965368,0.782608695652174,0.8303030303030303,0.7677106227106226,69,0.6849416748126426,0.7142857142857143,0.7741221033868093,0.6546753246753246,70,0.398312704,1543914,3.063,30.51
n_ep50_bs8_lr1e-03,n,50,8,0.001,0.655062656641604,0.6666666666666666,0.6783549783549783,0.6621611721611722,69,0.5652263601329814,0.5857142857142857,0.5737745098039215,0.5712554112554113,70,0.398312704,1543914,3.063,26.76
n_ep50_bs8_lr1e-04,n,50,8,0.0001,0.3967032967032967,0.5072463768115942,0.42789604730781206,0.42134920634920636,69,0.4704761904761905,0.5285714285714286,0.5758297258297259,0.46601731601731605,70,0.398312704,1543914,3.063,28.62
s_ep25_bs16_lr1e-02,s,25,16,0.01,0.6919158403254513,0.7246376811594203,0.7294841269841269,0.711923076923077,69,0.6275058275058275,0.6,0.67,0.6313419913419913,70,1.486391808,5455818,10.536,46.32
s_ep25_bs16_lr1e-03,s,25,16,0.001,0.6115633499776723,0.6521739130434783,0.7015367965367966,0.6165262515262515,69,0.587756796205072,0.6285714285714286,0.6151540616246499,0.5994372294372294,70,1.486391808,5455818,10.536,57.78
s_ep25_bs16_lr1e-04,s,25,16,0.0001,0.11335195877568757,0.2608695652173913,0.1158596837944664,0.1588156288156288,69,0.17231992051664183,0.3142857142857143,0.24402321083172146,0.1977922077922078,70,1.486391808,5455818,10.536,50.54
s_ep25_bs32_lr1e-02,s,25,32,0.01,0.7210139207198031,0.7391304347826086,0.7899999999999999,0.7358119658119657,69,0.5999425287356323,0.6,0.6587243896454422,0.5751515151515151,70,1.486391808,5455818,10.536,59.59
s_ep25_bs32_lr1e-03,s,25,32,0.001,0.5721829860470834,0.6231884057971014,0.6558333333333334,0.5854151404151404,69,0.5371898790864308,0.6142857142857143,0.5732775119617225,0.5451948051948051,70,1.486391808,5455818,10.536,67.64
s_ep25_bs32_lr1e-04,s,25,32,0.0001,0.08523809523809524,0.2463768115942029,0.07227272727272727,0.1442857142857143,69,0.1251602564102564,0.2714285714285714,0.248,0.16155844155844154,70,1.486391808,5455818,10.536,72.54
s_ep25_bs8_lr1e-02,s,25,8,0.01,0.6812273330384786,0.6956521739130435,0.7172222222222222,0.6797008547008547,69,0.572037037037037,0.5857142857142857,0.6261507610037021,0.5646753246753248,70,1.486391808,5455818,10.536,73.92
s_ep25_bs8_lr1e-03,s,25,8,0.001,0.6208888888888889,0.6666666666666666,0.6786742424242425,0.6319230769230769,69,0.5856668491151249,0.6285714285714286,0.5928812415654521,0.6151515151515151,70,1.486391808,5455818,10.536,76.31
s_ep25_bs8_lr1e-04,s,25,8,0.0001,0.19121940861071293,0.3333333333333333,0.2556542294914388,0.21849816849816853,69,0.181328320802005,0.32857142857142857,0.26631098951208393,0.2068831168831169,70,1.486391808,5455818,10.536,73.5
s_ep50_bs16_lr1e-02,s,50,16,0.01,0.657703818369453,0.6811594202898551,0.7779360835243188,0.6589865689865689,69,0.6238708513708514,0.6428571428571429,0.6795833333333332,0.5946753246753247,70,1.486391808,5455818,10.538,29.4
s_ep50_bs16_lr1e-03,s,50,16,0.001,0.6899162776221599,0.7101449275362319,0.7718452380952381,0.696923076923077,69,0.5341753329684364,0.5571428571428572,0.5748549257759784,0.5218181818181818,70,1.486391808,5455818,10.537,30.6
s_ep50_bs16_lr1e-04,s,50,16,0.0001,0.3344298245614035,0.43478260869565216,0.4857936507936508,0.3447741147741148,69,0.29702431697316606,0.45714285714285713,0.38677884615384617,0.3188311688311688,70,1.486391808,5455818,10.539,49.97
s_ep50_bs32_lr1e-02,s,50,32,0.01,0.659032325317155,0.6811594202898551,0.7442857142857143,0.6571611721611721,69,0.5957469654528478,0.5857142857142857,0.6722222222222223,0.576103896103896,70,1.486391808,5455818,10.539,27.05
s_ep50_bs32_lr1e-03,s,50,32,0.001,0.6710359231411862,0.6956521739130435,0.7097222222222223,0.6692185592185592,69,0.5703296703296703,0.6142857142857143,0.6379166666666667,0.5575324675324674,70,1.486391808,5455818,10.539,28.82
s_ep50_bs32_lr1e-04,s,50,32,0.0001,0.25037878787878787,0.4057971014492754,0.376984126984127,0.2784126984126984,69,0.21926042211756497,0.37142857142857144,0.29285714285714287,0.24311688311688312,70,1.486391808,5455818,10.539,76.39
s_ep50_bs8_lr1e-02,s,50,8,0.01,0.7256508365776101,0.7101449275362319,0.7360606060606061,0.7333699633699633,69,0.5950955418850156,0.5857142857142857,0.6584090909090909,0.5865800865800865,70,1.486391808,5455818,10.538,31.87
s_ep50_bs8_lr1e-03,s,50,8,0.001,0.7189336219336219,0.7246376811594203,0.7565276390276391,0.7109768009768009,69,0.5756731588956653,0.6,0.6044871794871794,0.5808658008658008,70,1.486391808,5455818,10.538,35.02
s_ep50_bs8_lr1e-04,s,50,8,0.0001,0.3219298245614035,0.4492753623188406,0.48984126984126986,0.3335775335775336,69,0.2646359191225056,0.4142857142857143,0.4025807525807526,0.2811688311688312,70,1.486391808,5455818,10.539,59.36
